Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Launch Price,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,Pixel Rate,Texture Rate,FP32 (float) performance,Length,Width,Height,Weight,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Bus Interface,Reviews,L1 Cache,L2 Cache,Slot Width,Suggested PSU,Power Connectors,Predecessor,Successor,FP64 (double) performance,Board Number,Base Clock,Boost Clock,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader,Part Number
Radeon X800 SE AGP,https://www.techpowerup.com/gpu-specs/radeon-x800-se-agp.c36,2004,R420,,8,8,256 MB,DDR,256 bit,R420,R420 SE,R400,TSMC,130 nm,160 million,281 mm²,"Sep 1st, 2004","Radeon R400 AGP
(X800)",End-of-life,,450 MHz,"400 MHz
800 Mbps effective",256 MB,DDR,256 bit,25.60 GB/s,,8,8,,3.600 GPixel/s,3.600 GTexel/s,,,,,,unknown,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,AGP 8x,226 in our database,,,Single-slot,200 W,1x Molex,Radeon R300,Radeon R500 AGP,,,,,8,6,8,6,675.0 MVertices/s,2.0b,2.0b,
Radeon X800 VE AGP,https://www.techpowerup.com/gpu-specs/radeon-x800-ve-agp.c2209,2004,R420,,16,16,256 MB,GDDR3,256 bit,R420,R420 VE,R400,TSMC,130 nm,160 million,281 mm²,"Sep 1st, 2004","Radeon R400 AGP
(X800)",End-of-life,,425 MHz,"398 MHz
796 Mbps effective",256 MB,GDDR3,256 bit,25.47 GB/s,,16,16,,6.800 GPixel/s,6.800 GTexel/s,,,,,,unknown,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,AGP 8x,226 in our database,,,Single-slot,200 W,1x Molex,Radeon R300,Radeon R500 AGP,,,,,16,6,16,6,637.5 MVertices/s,2.0b,2.0b,
Radeon X800 XL,https://www.techpowerup.com/gpu-specs/radeon-x800-xl.c536,2004,R480,,16,16,256 MB,GDDR3,256 bit,R480,R480 XL,R400,TSMC,130 nm,160 million,297 mm²,"Dec 1st, 2004","Radeon R400 PCIe
(X800)",End-of-life,,400 MHz,"490 MHz
980 Mbps effective",256 MB,GDDR3,256 bit,31.36 GB/s,,16,16,,6.400 GPixel/s,6.400 GTexel/s,,,,,,49 W,"2x DVI
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,PCIe 1.0 x16,226 in our database,,,Single-slot,200 W,1x 6-pin,Radeon R300,Radeon R500 PCIe,,,,,16,6,16,6,600.0 MVertices/s,2.0b,2.0b,
Radeon X800 XL AGP,https://www.techpowerup.com/gpu-specs/radeon-x800-xl-agp.c119,2004,R430,,16,16,256 MB,GDDR3,256 bit,R430,"R430 XL
(215RBBAKA11F)",R400,TSMC,110 nm,160 million,240 mm²,"May 1st, 2004","Radeon R400 AGP
(X800)",End-of-life,,400 MHz,"500 MHz
1000 Mbps effective",256 MB,GDDR3,256 bit,32.00 GB/s,,16,16,,6.400 GPixel/s,6.400 GTexel/s,,,,,,49 W,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,AGP 8x,226 in our database,,,Single-slot,200 W,1x Molex,Radeon R300,Radeon R500 AGP,,,,,16,6,16,6,600.0 MVertices/s,2.0b,2.0b,
Radeon X800 XT,https://www.techpowerup.com/gpu-specs/radeon-x800-xt.c22,2004,R423,,16,16,256 MB,GDDR3,256 bit,R423,"R423 XT
(215RBJAGA12F)",R400,TSMC,130 nm,160 million,289 mm²,"Dec 1st, 2004","Radeon R400 PCIe
(X800)",End-of-life,,500 MHz,"500 MHz
1000 Mbps effective",256 MB,GDDR3,256 bit,32.00 GB/s,,16,16,,8.000 GPixel/s,8.000 GTexel/s,,,,,,54 W,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,PCIe 1.0 x16,226 in our database,,,Single-slot,250 W,1x 6-pin,Radeon R300,Radeon R500 PCIe,,A319,,,16,6,16,6,750.0 MVertices/s,2.0b,2.0b,
Radeon X800 XT AGP,https://www.techpowerup.com/gpu-specs/radeon-x800-xt-agp.c18,2004,R420,,16,16,256 MB,GDDR3,256 bit,R420,R420 XT,R400,TSMC,130 nm,160 million,281 mm²,"Mar 1st, 2004","Radeon R400 AGP
(X800)",End-of-life,,500 MHz,"500 MHz
1000 Mbps effective",256 MB,GDDR3,256 bit,32.00 GB/s,,16,16,,8.000 GPixel/s,8.000 GTexel/s,,,,,,54 W,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,AGP 8x,226 in our database,,,Single-slot,250 W,1x Molex,Radeon R300,Radeon R500 AGP,,,,,16,6,16,6,750.0 MVertices/s,2.0b,2.0b,
Radeon X800 XT Mac Edition,https://www.techpowerup.com/gpu-specs/radeon-x800-xt-mac-edition.c994,2004,R423,,16,16,256 MB,GDDR3,256 bit,R423,"R423 XT
(215RBJAGA12F)",R400,TSMC,130 nm,160 million,289 mm²,"Dec 1st, 2004","Radeon R400 AGP
(X800)",End-of-life,,475 MHz,"500 MHz
1000 Mbps effective",256 MB,GDDR3,256 bit,32.00 GB/s,,16,16,,7.600 GPixel/s,7.600 GTexel/s,,,,,,54 W,2x DVI,9.0b (9_2),2.1,N/A,N/A,,AGP Pro 8x,226 in our database,,,Single-slot,250 W,None,Radeon R300,Radeon R500 AGP,,,,,16,6,16,6,712.5 MVertices/s,2.0b,2.0b,
Radeon X800 XT Platinum,https://www.techpowerup.com/gpu-specs/radeon-x800-xt-platinum.c23,2004,R423,,16,16,256 MB,GDDR3,256 bit,R423,"R423 XT
(215RBJAGA12F)",R400,TSMC,130 nm,160 million,289 mm²,"Mar 1st, 2004","Radeon R400 PCIe
(X800)",End-of-life,,520 MHz,"560 MHz
1120 Mbps effective",256 MB,GDDR3,256 bit,35.84 GB/s,,16,16,,8.320 GPixel/s,8.320 GTexel/s,,,,,,63 W,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,PCIe 1.0 x16,226 in our database,,,Single-slot,250 W,1x 6-pin,Radeon R300,Radeon R500 PCIe,,,,,16,6,16,6,780.0 MVertices/s,2.0b,2.0b,
Radeon X800 XT Platinum AGP,https://www.techpowerup.com/gpu-specs/radeon-x800-xt-platinum-agp.c1,2004,R420,,16,16,256 MB,GDDR3,256 bit,R420,R420 XT,R400,TSMC,130 nm,160 million,281 mm²,"May 1st, 2004","Radeon R400 AGP
(X800)",End-of-life,,520 MHz,"560 MHz
1120 Mbps effective",256 MB,GDDR3,256 bit,35.84 GB/s,,16,16,,8.320 GPixel/s,8.320 GTexel/s,,,,,,63 W,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,AGP 8x,226 in our database,,,Single-slot,250 W,1x Molex,Radeon R300,Radeon R500 AGP,,A261,,,16,6,16,6,780.0 MVertices/s,2.0b,2.0b,
Radeon X850 PRO,https://www.techpowerup.com/gpu-specs/radeon-x850-pro.c105,2004,R480,,12,12,256 MB,GDDR3,256 bit,R480,"R480 PRO
(215RBPAGA11F)",R400,TSMC,130 nm,160 million,297 mm²,"Dec 1st, 2004","Radeon R400 PCIe
(X850)",End-of-life,279 USD,507 MHz,"520 MHz
1040 Mbps effective",256 MB,GDDR3,256 bit,33.28 GB/s,,12,12,,6.084 GPixel/s,6.084 GTexel/s,,,,,,unknown,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.1,N/A,N/A,,PCIe 1.0 x16,58 in our database,,,Single-slot,200 W,1x 6-pin,Radeon R300,Radeon R500 PCIe,,,,,12,6,12,6,760.5 MVertices/s,2.0b,2.0b,
