Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Bus Interface,Reviews,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Execution Units,RT Cores,L2 Cache,Pixel Rate,Texture Rate,FP16 (half) performance,FP32 (float) performance,FP64 (double) performance,Slot Width,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Suggested PSU,Power Connectors,GPU Clock,Length,L3 Cache,Availability,Launch Price,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader
UHD Graphics 630,https://www.techpowerup.com/gpu-specs/uhd-graphics-630.c3262,2018,Coffee Lake GT2,192,24,3,System Shared,System Shared,System Shared,Coffee Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Apr 3rd, 2018","HD Graphics-M
(Coffee Lake)",Active,Ring Bus,1 in our database,350 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics P630,https://www.techpowerup.com/gpu-specs/uhd-graphics-p630.c3605,2018,Coffee Lake GT2,192,24,3,System Shared,System Shared,System Shared,Coffee Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"May 24th, 2018","HD Graphics-W
(Coffee Lake)",Active,Ring Bus,1 in our database,350 MHz,1100 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.300 GPixel/s,26.40 GTexel/s,844.8 GFLOPS (2:1),422.4 GFLOPS,105.6 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics P630,https://www.techpowerup.com/gpu-specs/uhd-graphics-p630.c3452,2018,Coffee Lake GT2,192,24,3,System Shared,System Shared,System Shared,Coffee Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"May 24th, 2018","HD Graphics-WM
(Coffee Lake)",Active,Ring Bus,1 in our database,350 MHz,1200 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.600 GPixel/s,28.80 GTexel/s,921.6 GFLOPS (2:1),460.8 GFLOPS,115.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Plus Graphics 640,https://www.techpowerup.com/gpu-specs/iris-plus-graphics-640.c2963,2017,Kaby Lake GT3e,384,48,6,System Shared,System Shared,System Shared,Kaby Lake GT3e,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Jan 3rd, 2017","HD Graphics-M
(Kaby Lake)",Active,Ring Bus,1 in our database,300 MHz,1100 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.600 GPixel/s,52.80 GTexel/s,1.690 TFLOPS (2:1),844.8 GFLOPS,211.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Plus Graphics 650,https://www.techpowerup.com/gpu-specs/iris-plus-graphics-650.c2964,2017,Kaby Lake GT3e,384,48,6,System Shared,System Shared,System Shared,Kaby Lake GT3e,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Jan 3rd, 2017","HD Graphics-M
(Kaby Lake)",Active,Ring Bus,1 in our database,300 MHz,1150 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.900 GPixel/s,55.20 GTexel/s,1.766 TFLOPS (2:1),883.2 GFLOPS,220.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 600,https://www.techpowerup.com/gpu-specs/uhd-graphics-600.c3065,2017,Gemini Lake GT1,96,12,2,System Shared,System Shared,System Shared,Gemini Lake GT1,,Generation 9.5,Intel,14 nm,unknown,unknown,"Dec 11th, 2017","HD Graphics-T
(Goldmont Plus)",Active,Ring Bus,1 in our database,200 MHz,650 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.300 GPixel/s,7.800 GTexel/s,249.6 GFLOPS (2:1),124.8 GFLOPS,31.20 GFLOPS (1:4),IGP,5 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 605,https://www.techpowerup.com/gpu-specs/uhd-graphics-605.c3101,2017,Gemini Lake GT1.5,144,18,3,System Shared,System Shared,System Shared,Gemini Lake GT1.5,,Generation 9.5,Intel,14 nm,unknown,unknown,"Dec 11th, 2017","HD Graphics-T
(Goldmont Plus)",Active,Ring Bus,1 in our database,200 MHz,750 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,144,18,3,18,,,2.250 GPixel/s,13.50 GTexel/s,432.0 GFLOPS (2:1),216.0 GFLOPS,54.00 GFLOPS (1:4),IGP,5 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 620,https://www.techpowerup.com/gpu-specs/uhd-graphics-620.c2909,2017,Kaby Lake GT2,192,24,3,System Shared,System Shared,System Shared,Kaby Lake GT2,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Sep 1st, 2017","HD Graphics-M
(Kaby Lake Refresh)",Active,Ring Bus,1 in our database,300 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 630,https://www.techpowerup.com/gpu-specs/uhd-graphics-630.c3105,2017,Coffee Lake GT2,192,24,3,System Shared,System Shared,System Shared,Coffee Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Sep 1st, 2017","HD Graphics
(Coffee Lake)",Active,Ring Bus,1 in our database,350 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.150 GPixel/s,25.20 GTexel/s,806.4 GFLOPS (2:1),403.2 GFLOPS,100.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 630,https://www.techpowerup.com/gpu-specs/uhd-graphics-630.c3107,2017,Coffee Lake GT2,184,23,3,System Shared,System Shared,System Shared,Coffee Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Sep 1st, 2017","HD Graphics
(Coffee Lake)",Active,Ring Bus,1 in our database,350 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,184,23,3,23,,,3.150 GPixel/s,24.15 GTexel/s,772.8 GFLOPS (2:1),386.4 GFLOPS,96.60 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 505,https://www.techpowerup.com/gpu-specs/hd-graphics-505.c3155,2016,Apollo Lake GT1.5,144,18,3,System Shared,System Shared,System Shared,Apollo Lake GT1.5,,Generation 9.0,Intel,14 nm,unknown,unknown,"Sep 1st, 2016","HD Graphics-T
(Goldmont)",Active,Ring Bus,1 in our database,200 MHz,650 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,144,18,3,18,,,1.950 GPixel/s,11.70 GTexel/s,,187.2 GFLOPS,23.40 GFLOPS (1:8),IGP,6 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 610,https://www.techpowerup.com/gpu-specs/hd-graphics-610.c3102,2016,Kaby Lake GT1,96,12,2,System Shared,System Shared,System Shared,Kaby Lake GT1,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Aug 30th, 2016","HD Graphics-M
(Kaby Lake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.800 GPixel/s,10.80 GTexel/s,345.6 GFLOPS (2:1),172.8 GFLOPS,43.20 GFLOPS (1:4),IGP,5 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 610,https://www.techpowerup.com/gpu-specs/hd-graphics-610.c3021,2016,Kaby Lake GT1,96,12,2,System Shared,System Shared,System Shared,Kaby Lake GT1,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Aug 30th, 2016","HD Graphics
(Kaby Lake)",Active,Ring Bus,1 in our database,350 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,2.100 GPixel/s,12.60 GTexel/s,403.2 GFLOPS (2:1),201.6 GFLOPS,50.40 GFLOPS (1:4),IGP,5 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 615,https://www.techpowerup.com/gpu-specs/hd-graphics-615.c2910,2016,Kaby Lake GT2,192,24,3,System Shared,System Shared,System Shared,Kaby Lake GT2,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Aug 30th, 2016","HD Graphics-M
(Kaby Lake)",Active,Ring Bus,1 in our database,300 MHz,850 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.550 GPixel/s,20.40 GTexel/s,652.8 GFLOPS (2:1),326.4 GFLOPS,81.60 GFLOPS (1:4),IGP,5 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 620,https://www.techpowerup.com/gpu-specs/hd-graphics-620.c2911,2016,Kaby Lake GT2,192,24,3,System Shared,System Shared,System Shared,Kaby Lake GT2,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Aug 30th, 2016","HD Graphics-M
(Kaby Lake)",Active,Ring Bus,1 in our database,300 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 630,https://www.techpowerup.com/gpu-specs/hd-graphics-630.c2961,2016,Kaby Lake GT2,192,24,3,System Shared,System Shared,System Shared,Kaby Lake GT2,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Aug 30th, 2016","HD Graphics-M
(Kaby Lake)",Active,Ring Bus,1 in our database,350 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 630,https://www.techpowerup.com/gpu-specs/hd-graphics-630.c2962,2016,Kaby Lake GT2,192,24,3,System Shared,System Shared,System Shared,Kaby Lake GT2,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Aug 30th, 2016","HD Graphics
(Kaby Lake)",Active,Ring Bus,1 in our database,350 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics P630,https://www.techpowerup.com/gpu-specs/hd-graphics-p630.c2965,2016,Kaby Lake GT2,192,24,3,System Shared,System Shared,System Shared,Kaby Lake GT2,,Generation 9.5,Intel,14 nm++,unknown,unknown,"Aug 5th, 2016","HD Graphics-WM
(Kaby Lake)",Active,Ring Bus,1 in our database,350 MHz,1100 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.300 GPixel/s,26.40 GTexel/s,844.8 GFLOPS (2:1),422.4 GFLOPS,105.6 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics,https://www.techpowerup.com/gpu-specs/hd-graphics.c3149,2015,Broadwell GT1,96,12,2,System Shared,System Shared,System Shared,Broadwell GT1,,Generation 8.0,Intel,14 nm,unknown,82 mm²,"Jan 5th, 2015","HD Graphics-M
(Broadwell)",Active,Ring Bus,1 in our database,100 MHz,800 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.600 GPixel/s,9.600 GTexel/s,,153.6 GFLOPS,38.40 GFLOPS (1:4),IGP,6 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,,,,,,,,,,,,,
HD Graphics,https://www.techpowerup.com/gpu-specs/hd-graphics.c3115,2015,Braswell GT1,96,12,2,System Shared,System Shared,System Shared,Braswell GT1,,Generation 8.0,Intel,14 nm,unknown,unknown,"Apr 1st, 2015","HD Graphics-T
(Airmont)",Active,Ring Bus,1 in our database,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.000 GPixel/s,6.000 GTexel/s,,96.00 GFLOPS,24.00 GFLOPS (1:4),IGP,6 W,No outputs,12 (11_1),4.3,3.0,1.0,5.1,,,500 MHz,,,,,,,,,,,
HD Graphics 400,https://www.techpowerup.com/gpu-specs/hd-graphics-400.c2900,2015,Braswell GT1,96,12,2,System Shared,System Shared,System Shared,Braswell GT1,,Generation 8.0,Intel,14 nm,unknown,unknown,"Apr 1st, 2015","HD Graphics-T
(Airmont)",Active,Ring Bus,1 in our database,320 MHz,600 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.200 GPixel/s,7.200 GTexel/s,,115.2 GFLOPS,28.80 GFLOPS (1:4),IGP,6 W,No outputs,12 (11_1),4.3,3.0,1.0,5.1,,,,,,,,,,,,,,
HD Graphics 405,https://www.techpowerup.com/gpu-specs/hd-graphics-405.c2901,2015,Braswell GT1,128,16,2,System Shared,System Shared,System Shared,Braswell GT1,,Generation 8.0,Intel,14 nm,unknown,unknown,"Apr 1st, 2015","HD Graphics-T
(Airmont)",Active,Ring Bus,1 in our database,200 MHz,600 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,128,16,2,16,,,1.200 GPixel/s,9.600 GTexel/s,,153.6 GFLOPS,38.40 GFLOPS (1:4),IGP,6 W,No outputs,12 (11_1),4.3,3.0,1.0,5.1,,,,,,,,,,,,,,
HD Graphics 500,https://www.techpowerup.com/gpu-specs/hd-graphics-500.c2902,2015,Apollo Lake GT1,96,12,2,System Shared,System Shared,System Shared,Apollo Lake GT1,,Generation 9.0,Intel,14 nm,unknown,unknown,"Sep 1st, 2015","HD Graphics-T
(Goldmont)",Active,Ring Bus,1 in our database,200 MHz,650 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.300 GPixel/s,7.800 GTexel/s,,124.8 GFLOPS,15.60 GFLOPS (1:8),IGP,6 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 510,https://www.techpowerup.com/gpu-specs/hd-graphics-510.c2784,2015,Skylake GT1,96,12,3,System Shared,System Shared,System Shared,Skylake GT1,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics-M
(Skylake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,3,12,,,2.700 GPixel/s,10.80 GTexel/s,345.6 GFLOPS (2:1),172.8 GFLOPS,43.20 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 510,https://www.techpowerup.com/gpu-specs/hd-graphics-510.c2795,2015,Skylake GT1,96,12,2,System Shared,System Shared,System Shared,Skylake GT1,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,950 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.900 GPixel/s,11.40 GTexel/s,364.8 GFLOPS (2:1),182.4 GFLOPS,45.60 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 515,https://www.techpowerup.com/gpu-specs/hd-graphics-515.c3400,2015,Skylake GT2,192,24,3,System Shared,System Shared,System Shared,Skylake GT2,,Generation 9.0,Intel,14 nm+,unknown,123 mm²,"Sep 1st, 2015","HD Graphics-M
(Skylake)",Active,Ring Bus,1 in our database,300 MHz,800 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.400 GPixel/s,19.20 GTexel/s,614.4 GFLOPS (2:1),307.2 GFLOPS,76.80 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 520,https://www.techpowerup.com/gpu-specs/hd-graphics-520.c2783,2015,Skylake GT2,192,24,3,System Shared,System Shared,System Shared,Skylake GT2,,Generation 9.0,Intel,14 nm+,unknown,123 mm²,"Sep 1st, 2015","HD Graphics-M
(Skylake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.700 GPixel/s,21.60 GTexel/s,691.2 GFLOPS (2:1),345.6 GFLOPS,86.40 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 530,https://www.techpowerup.com/gpu-specs/hd-graphics-530.c2785,2015,Skylake GT2,192,24,3,System Shared,System Shared,System Shared,Skylake GT2,,Generation 9.0,Intel,14 nm+,unknown,123 mm²,"Sep 1st, 2015","HD Graphics-M
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,950 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.850 GPixel/s,22.80 GTexel/s,729.6 GFLOPS (2:1),364.8 GFLOPS,91.20 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 530,https://www.techpowerup.com/gpu-specs/hd-graphics-530.c2789,2015,Skylake GT2,192,24,3,System Shared,System Shared,System Shared,Skylake GT2,,Generation 9.0,Intel,14 nm+,unknown,123 mm²,"Sep 1st, 2015","HD Graphics
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,950 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.850 GPixel/s,22.80 GTexel/s,729.6 GFLOPS (2:1),364.8 GFLOPS,91.20 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics P530,https://www.techpowerup.com/gpu-specs/hd-graphics-p530.c2793,2015,Skylake GT2,192,16,3,System Shared,System Shared,System Shared,Skylake GT2,,Generation 9.0,Intel,14 nm+,unknown,123 mm²,"Sep 1st, 2015","HD Graphics-W
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,16,3,24,,,3.000 GPixel/s,16.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Graphics 540,https://www.techpowerup.com/gpu-specs/iris-graphics-540.c2786,2015,Skylake GT3e,384,48,6,System Shared,System Shared,System Shared,Skylake GT3e,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics-M
(Skylake)",Active,Ring Bus,1 in our database,300 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.000 GPixel/s,48.00 GTexel/s,,768.0 GFLOPS,,IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Graphics 550,https://www.techpowerup.com/gpu-specs/iris-graphics-550.c2787,2015,Skylake GT3e,384,48,6,System Shared,System Shared,System Shared,Skylake GT3e,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics-M
(Skylake)",Active,Ring Bus,1 in our database,300 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.000 GPixel/s,48.00 GTexel/s,1.536 TFLOPS (2:1),768.0 GFLOPS,192.0 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Pro Graphics 580,https://www.techpowerup.com/gpu-specs/iris-pro-graphics-580.c2788,2015,Skylake GT4e,576,72,9,System Shared,System Shared,System Shared,Skylake GT4e,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics-M
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,950 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,576,72,9,72,,,8.550 GPixel/s,68.40 GTexel/s,2.189 TFLOPS (2:1),"1,094 GFLOPS",273.6 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Pro Graphics P555,https://www.techpowerup.com/gpu-specs/iris-pro-graphics-p555.c3220,2015,Skylake GT3e,384,48,6,System Shared,System Shared,System Shared,Skylake GT3e,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics-W
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.000 GPixel/s,48.00 GTexel/s,1.536 TFLOPS (2:1),768.0 GFLOPS,192.0 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Pro Graphics P580,https://www.techpowerup.com/gpu-specs/iris-pro-graphics-p580.c2794,2015,Skylake GT4e,576,72,9,System Shared,System Shared,System Shared,Skylake GT4e,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics-W
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,576,72,9,72,,,9.000 GPixel/s,72.00 GTexel/s,2.304 TFLOPS (2:1),"1,152 GFLOPS",288.0 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Pro Graphics P580,https://www.techpowerup.com/gpu-specs/iris-pro-graphics-p580.c3606,2015,Skylake GT4e,576,72,9,System Shared,System Shared,System Shared,Skylake GT4e,,Generation 9.0,Intel,14 nm+,unknown,unknown,"Sep 1st, 2015","HD Graphics-WM
(Skylake)",Active,Ring Bus,1 in our database,350 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,576,72,9,72,,,9.450 GPixel/s,75.60 GTexel/s,2.419 TFLOPS (2:1),"1,210 GFLOPS",302.4 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
HD Graphics 5300,https://www.techpowerup.com/gpu-specs/hd-graphics-5300.c2624,2014,Broadwell GT2,192,24,3,System Shared,System Shared,System Shared,Broadwell GT2,,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014","HD Graphics-M
(Broadwell)",End-of-life,Ring Bus,1 in our database,300 MHz,800 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.400 GPixel/s,19.20 GTexel/s,,307.2 GFLOPS,76.80 GFLOPS (1:4),IGP,15 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,,,,,,,,,,,,,
HD Graphics 5500,https://www.techpowerup.com/gpu-specs/hd-graphics-5500.c2625,2014,Broadwell GT2,192,24,3,System Shared,System Shared,System Shared,Broadwell GT2,,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014","HD Graphics-M
(Broadwell)",End-of-life,Ring Bus,1 in our database,300 MHz,850 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.550 GPixel/s,20.40 GTexel/s,,326.4 GFLOPS,81.60 GFLOPS (1:4),IGP,15 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,,,,,,,,,,,,,
HD Graphics 5600,https://www.techpowerup.com/gpu-specs/hd-graphics-5600.c3139,2014,Broadwell GT2,192,24,3,System Shared,System Shared,System Shared,Broadwell GT2,,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014","HD Graphics-M
(Broadwell)",End-of-life,Ring Bus,1 in our database,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.150 GPixel/s,25.20 GTexel/s,,403.2 GFLOPS,100.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,,,,,,,,,,,,,
HD Graphics 6000,https://www.techpowerup.com/gpu-specs/hd-graphics-6000.c2626,2014,Broadwell GT3,384,48,6,System Shared,System Shared,System Shared,Broadwell GT3,,Generation 8.0,Intel,14 nm,unknown,133 mm²,"Sep 5th, 2014","HD Graphics-M
(Broadwell)",End-of-life,Ring Bus,1 in our database,300 MHz,950 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,5.700 GPixel/s,45.60 GTexel/s,,729.6 GFLOPS,182.4 GFLOPS (1:4),IGP,15 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,,,,,,,,,,,,,
HD Graphics P5700,https://www.techpowerup.com/gpu-specs/hd-graphics-p5700.c2791,2014,Broadwell GT2,192,24,3,System Shared,System Shared,System Shared,Broadwell GT2,,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014","HD Graphics-W
(Broadwell)",End-of-life,Ring Bus,1 in our database,700 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,,384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,,,,,,,,,,,,,
Iris Graphics 6100,https://www.techpowerup.com/gpu-specs/iris-graphics-6100.c2627,2014,Broadwell GT3,384,48,6,System Shared,System Shared,System Shared,Broadwell GT3,,Generation 8.0,Intel,14 nm,unknown,133 mm²,"Sep 5th, 2014","HD Graphics-M
(Broadwell)",End-of-life,Ring Bus,1 in our database,300 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.000 GPixel/s,48.00 GTexel/s,,768.0 GFLOPS,192.0 GFLOPS (1:4),IGP,15 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,None,,,,,,,,,,,,
Iris Pro Graphics 6200,https://www.techpowerup.com/gpu-specs/iris-pro-graphics-6200.c2628,2014,Broadwell GT3e,384,48,6,System Shared,System Shared,System Shared,Broadwell GT3e,,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014","HD Graphics-M
(Broadwell)",End-of-life,Ring Bus,1 in our database,300 MHz,1100 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.600 GPixel/s,52.80 GTexel/s,,844.8 GFLOPS,211.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (11_1),4.4,3.0,1.0,5.1,,,,,,,,,,,,,,
