Year,Foundry,Process Size,Transistors,Die Size,Production,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,TMUs,ROPs,Pixel Rate,Texture Rate,Slot Width,TDP,Outputs,Power Connectors,DirectX,OpenGL,Manufacturer,CORES,Shading Units,FP32 (float) performance,Shader Model
2001,TSMC,180 nm,25 million,unknown,End-of-life,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4.0,4.0,800.0 MPixel/s,800.0 MTexel/s,Single-slot,60 W,"1x DVI
1x VGA
1x S-Video",None,8.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,64 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,143 MHz,"143 MHz
286 Mbps effective",16 MB,DDR,128 bit,4.576 GB/s,2.0,2.0,286.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,"166 MHz
332 Mbps effective",16 MB,DDR,128 bit,5.312 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,"166 MHz
332 Mbps effective",32 MB,DDR,128 bit,5.312 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,60 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,8 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,12 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,1.0,166.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,1.0,166.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,183 MHz,183 MHz,16 MB,SDR,128 bit,2.928 GB/s,2.0,1.0,183.0 MPixel/s,366.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1998,TSMC,350 nm,4 million,137 mm²,End-of-life,100 MHz,100 MHz,16 MB,SDR,128 bit,1.600 GB/s,1.0,1.0,100.0 MPixel/s,100.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1998,TSMC,350 nm,4 million,137 mm²,End-of-life,100 MHz,100 MHz,16 MB,SDR,128 bit,1.600 GB/s,1.0,1.0,100.0 MPixel/s,100.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
1998,TSMC,350 nm,4 million,119 mm²,End-of-life,90 MHz,90 MHz,12 MB,EDO,192 bit,2.160 GB/s,2.0,1.0,90.00 MPixel/s,180.0 MTexel/s,Single-slot,15 W,2x VGA,None,6.0,1.1,AMD,,,,
1998,TSMC,350 nm,4 million,119 mm²,End-of-life,90 MHz,90 MHz,8 MB,EDO,192 bit,2.160 GB/s,2.0,1.0,90.00 MPixel/s,180.0 MTexel/s,Single-slot,15 W,2x VGA,None,6.0,1.1,AMD,,,,
1996,TSMC,500 nm,1 million,135 mm²,End-of-life,50 MHz,50 MHz,4 MB,EDO,128 bit,800.0 MB/s,1.0,1.0,50.00 MPixel/s,50.00 MTexel/s,Single-slot,15 W,2x VGA,None,5.0,1.1,AMD,,,,
2013,TSMC,45 nm,372 million,168 mm²,End-of-life,500 MHz,"700 MHz
1400 Mbps effective",512 MB,GDDR3,128 bit,22.40 GB/s,16.0,8.0,4.000 GPixel/s,8.000 GTexel/s,,120 W,No outputs,,9.0c (9_3),,ATI,240,240.0,240.0 GFLOPS,3.0
2012,TSMC,55 nm,956 million,256 mm²,End-of-life,750 MHz,"850 MHz
1700 Mbps effective",1024 MB,GDDR3,128 bit,27.20 GB/s,40.0,8.0,6.000 GPixel/s,30.00 GTexel/s,Single-slot,76 W,1x DVI,1x 6-pin,10.1 (10_1),3.3,ATI,800,800.0,"1,200 GFLOPS",4.1
2012,TSMC,55 nm,956 million,256 mm²,End-of-life,625 MHz,"1050 MHz
2.1 Gbps effective",1024 MB,GDDR4,128 bit,33.60 GB/s,40.0,8.0,5.000 GPixel/s,25.00 GTexel/s,Single-slot,76 W,1x DVI,1x 6-pin,10.1 (10_1),3.3,ATI,800,800.0,"1,000 GFLOPS",4.1
2012,TSMC,40 nm,627 million,104 mm²,End-of-life,550 MHz,"800 MHz
1600 Mbps effective",1024 MB,GDDR3,128 bit,25.60 GB/s,20.0,8.0,4.400 GPixel/s,11.00 GTexel/s,,20 W,No outputs,,11.2 (11_0),4.4,ATI,400,400.0,440.0 GFLOPS,5.0
2012,TSMC,40 nm,292 million,59 mm²,End-of-life,650 MHz,"400 MHz
800 Mbps effective",512 MB,GDDR3,64 bit,6.400 GB/s,8.0,4.0,2.600 GPixel/s,5.200 GTexel/s,Single-slot,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",None,11.2 (11_0),4.4,ATI,80,80.0,104.0 GFLOPS,5.0
2012,TSMC,40 nm,292 million,59 mm²,End-of-life,650 MHz,"500 MHz
1000 Mbps effective",1024 MB,GDDR3,64 bit,8.000 GB/s,8.0,4.0,2.600 GPixel/s,5.200 GTexel/s,Single-slot,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",None,11.2 (11_0),4.4,ATI,80,80.0,104.0 GFLOPS,5.0
2011,TSMC,40 nm,"2,154 million",334 mm²,End-of-life,700 MHz,"1000 MHz
4 Gbps effective",2 GB,GDDR5,256 bit,128.0 GB/s,72.0,32.0,22.40 GPixel/s,50.40 GTexel/s,Single-slot,138 W,1x DisplayPort 1.1,1x 6-pin,11.2 (11_0),4.4,ATI,1440,1440.0,2.016 TFLOPS,5.0
2011,TSMC,55 nm,242 million,73 mm²,End-of-life,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR2,64 bit,6.400 GB/s,8.0,4.0,2.400 GPixel/s,4.800 GTexel/s,Single-slot,25 W,"1x DVI
1x HDMI 1.3a
1x DisplayPort 1.0",None,10.1 (10_1),3.3,ATI,80,80.0,96.00 GFLOPS,4.1
